chr.x	START.x	END.x	chr.y	START.y	END.y
Astrocytes	32	33	Monocytes	188	189
Astrocytes	35	36	Monocytes	117	118
Astrocytes	39	40	Monocytes	230	231
Astrocytes	40	41	Monocytes	127	128
Astrocytes	42	43	Monocytes	31	32
Astrocytes	47	48	Monocytes	201	202
Astrocytes	48	49	Monocytes	163	164
Astrocytes	53	54	Monocytes	108	109
Astrocytes	56	57	Monocytes	260	261
Astrocytes	57	58	Monocytes	97	98
Astrocytes	58	59	Monocytes	19	20
Astrocytes	60	61	Monocytes	239	240
Astrocytes	61	62	Monocytes	1	2
Astrocytes	65	66	Monocytes	10	11
Astrocytes	71	72	Monocytes	178	179
Astrocytes	72	73	Monocytes	155	156
Astrocytes	73	74	Monocytes	55	56
Astrocytes	80	81	Monocytes	76	77
Astrocytes	88	89	Monocytes	213	214
Astrocytes	94	95	Monocytes	166	167
Astrocytes	95	96	Monocytes	233	234
Astrocytes	96	97	Monocytes	186	187
Astrocytes	97	98	Monocytes	259	260
Astrocytes	99	100	Monocytes	254	255
Astrocytes	100	101	Monocytes	39	40
Astrocytes	1	2	TCell	22	23
Astrocytes	6	7	TCell	13	14
Astrocytes	15	16	TCell	26	27
Astrocytes	21	22	TCell	34	35
Astrocytes	29	30	TCell	45	46
Astrocytes	30	31	TCell	79	80
Astrocytes	34	35	TCell	39	40
Astrocytes	46	47	TCell	88	89
Astrocytes	52	53	TCell	48	49
Astrocytes	53	54	TCell	20	21
Astrocytes	65	66	TCell	95	96
Astrocytes	83	84	TCell	16	17
Astrocytes	98	99	TCell	91	92
Astrocytes	4	5	Hepatocytes	104	105
Astrocytes	10	11	Hepatocytes	21	22
Astrocytes	18	19	Hepatocytes	34	35
Astrocytes	22	23	Hepatocytes	153	154
Astrocytes	23	24	Hepatocytes	159	160
Astrocytes	27	28	Hepatocytes	95	96
Astrocytes	31	32	Hepatocytes	158	159
Astrocytes	38	39	Hepatocytes	53	54
Astrocytes	39	40	Hepatocytes	47	48
Astrocytes	53	54	Hepatocytes	94	95
Astrocytes	56	57	Hepatocytes	19	20
Astrocytes	63	64	Hepatocytes	12	13
Astrocytes	67	68	Hepatocytes	133	134
Astrocytes	68	69	Hepatocytes	83	84
Astrocytes	71	72	Hepatocytes	56	57
Astrocytes	76	77	Hepatocytes	80	81
Astrocytes	93	94	Hepatocytes	61	62
Astrocytes	100	101	Hepatocytes	108	109
Astrocytes	0	1	VisceralAdipocytes	8	9
Astrocytes	2	3	VisceralAdipocytes	104	105
Astrocytes	4	5	VisceralAdipocytes	156	157
Astrocytes	12	13	VisceralAdipocytes	102	103
Astrocytes	17	18	VisceralAdipocytes	91	92
Astrocytes	28	29	VisceralAdipocytes	166	167
Astrocytes	31	32	VisceralAdipocytes	130	131
Astrocytes	37	38	VisceralAdipocytes	153	154
Astrocytes	40	41	VisceralAdipocytes	49	50
Astrocytes	41	42	VisceralAdipocytes	68	69
Astrocytes	47	48	VisceralAdipocytes	128	129
Astrocytes	50	51	VisceralAdipocytes	80	81
Astrocytes	57	58	VisceralAdipocytes	64	65
Astrocytes	59	60	VisceralAdipocytes	38	39
Astrocytes	62	63	VisceralAdipocytes	28	29
Astrocytes	64	65	VisceralAdipocytes	154	155
Astrocytes	70	71	VisceralAdipocytes	7	8
Astrocytes	82	83	VisceralAdipocytes	12	13
Astrocytes	85	86	VisceralAdipocytes	26	27
Astrocytes	86	87	VisceralAdipocytes	129	130
Astrocytes	87	88	VisceralAdipocytes	11	12
Astrocytes	89	90	VisceralAdipocytes	165	166
Astrocytes	90	91	VisceralAdipocytes	19	20
Astrocytes	94	95	VisceralAdipocytes	82	83
Astrocytes	97	98	VisceralAdipocytes	29	30
Astrocytes	100	101	VisceralAdipocytes	123	124
Astrocytes	0	1	SubcutaneousAdipocytes	26	27
Astrocytes	3	4	SubcutaneousAdipocytes	28	29
Astrocytes	12	13	SubcutaneousAdipocytes	45	46
Astrocytes	19	20	SubcutaneousAdipocytes	51	52
Astrocytes	33	34	SubcutaneousAdipocytes	63	64
Astrocytes	43	44	SubcutaneousAdipocytes	57	58
Astrocytes	56	57	SubcutaneousAdipocytes	98	99
Astrocytes	57	58	SubcutaneousAdipocytes	85	86
Astrocytes	82	83	SubcutaneousAdipocytes	16	17
Astrocytes	83	84	SubcutaneousAdipocytes	37	38
Astrocytes	93	94	SubcutaneousAdipocytes	111	112
Astrocytes	94	95	SubcutaneousAdipocytes	106	107
Neurons	285	286	SHSY5Y	141	142
Neurons	49	50	SHSY5Y	79	80
Neurons	273	274	SHSY5Y	91	92
Neurons	59	60	SHSY5Y	116	117
Neurons	193	194	SHSY5Y	135	136
Neurons	172	173	SHSY5Y	38	39
Neurons	17	18	SHSY5Y	51	52
Neurons	213	214	SHSY5Y	54	55
Neurons	6	7	SHSY5Y	166	167
Neurons	0	1	SHSY5Y	10	11
Neurons	2	3	SHSY5Y	44	45
Neurons	3	4	SHSY5Y	159	160
Neurons	7	8	SHSY5Y	145	146
Neurons	8	9	SHSY5Y	71	72
Neurons	13	14	SHSY5Y	146	147
Neurons	14	15	SHSY5Y	53	54
Neurons	16	17	SHSY5Y	0	1
Neurons	18	19	SHSY5Y	24	25
Neurons	27	28	SHSY5Y	130	131
Neurons	29	30	SHSY5Y	100	101
Neurons	33	34	SHSY5Y	65	66
Neurons	35	36	SHSY5Y	103	104
Neurons	38	39	SHSY5Y	163	164
Neurons	40	41	SHSY5Y	57	58
Neurons	41	42	SHSY5Y	11	12
Neurons	44	45	SHSY5Y	60	61
Neurons	50	51	SHSY5Y	70	71
Neurons	52	53	SHSY5Y	136	137
Neurons	57	58	SHSY5Y	129	130
Neurons	60	61	SHSY5Y	144	145
Neurons	61	62	SHSY5Y	104	105
Neurons	64	65	SHSY5Y	18	19
Neurons	67	68	SHSY5Y	164	165
Neurons	82	83	SHSY5Y	101	102
Neurons	88	89	SHSY5Y	36	37
Neurons	93	94	SHSY5Y	102	103
Neurons	95	96	SHSY5Y	56	57
Neurons	100	101	SHSY5Y	32	33
Neurons	107	108	SHSY5Y	153	154
Neurons	108	109	SHSY5Y	33	34
Neurons	115	116	SHSY5Y	98	99
Neurons	118	119	SHSY5Y	29	30
Neurons	124	125	SHSY5Y	17	18
Neurons	127	128	SHSY5Y	127	128
Neurons	132	133	SHSY5Y	26	27
Neurons	151	152	SHSY5Y	122	123
Neurons	152	153	SHSY5Y	94	95
Neurons	155	156	SHSY5Y	3	4
Neurons	161	162	SHSY5Y	119	120
Neurons	164	165	SHSY5Y	115	116
Neurons	169	170	SHSY5Y	120	121
Neurons	174	175	SHSY5Y	96	97
Neurons	190	191	SHSY5Y	48	49
Neurons	194	195	SHSY5Y	20	21
Neurons	197	198	SHSY5Y	2	3
Neurons	199	200	SHSY5Y	42	43
Neurons	211	212	SHSY5Y	81	82
Neurons	214	215	SHSY5Y	149	150
Neurons	226	227	SHSY5Y	85	86
Neurons	230	231	SHSY5Y	134	135
Neurons	237	238	SHSY5Y	76	77
Neurons	238	239	SHSY5Y	147	148
Neurons	247	248	SHSY5Y	118	119
Neurons	261	262	SHSY5Y	19	20
Neurons	266	267	SHSY5Y	109	110
Neurons	269	270	SHSY5Y	86	87
Neurons	283	284	SHSY5Y	83	84
Neurons	288	289	SHSY5Y	142	143
Neurons	250	251	CACO2	201	202
Neurons	286	287	CACO2	185	186
Neurons	106	107	CACO2	83	84
Neurons	285	286	CACO2	110	111
Neurons	167	168	CACO2	196	197
Neurons	148	149	CACO2	131	132
Neurons	123	124	CACO2	5	6
Neurons	59	60	CACO2	68	69
Neurons	193	194	CACO2	10	11
Neurons	39	40	CACO2	79	80
Neurons	54	55	CACO2	175	176
Neurons	66	67	CACO2	139	140
Neurons	122	123	CACO2	53	54
Neurons	140	141	CACO2	170	171
Neurons	248	249	CACO2	156	157
Neurons	172	173	CACO2	54	55
Neurons	213	214	CACO2	92	93
Neurons	112	113	CACO2	197	198
Neurons	271	272	CACO2	192	193
Neurons	7	8	CACO2	62	63
Neurons	9	10	CACO2	59	60
Neurons	12	13	CACO2	14	15
Neurons	13	14	CACO2	32	33
Neurons	29	30	CACO2	57	58
Neurons	36	37	CACO2	69	70
Neurons	37	38	CACO2	104	105
Neurons	38	39	CACO2	67	68
Neurons	48	49	CACO2	117	118
Neurons	51	52	CACO2	160	161
Neurons	57	58	CACO2	65	66
Neurons	60	61	CACO2	7	8
Neurons	61	62	CACO2	97	98
Neurons	63	64	CACO2	112	113
Neurons	64	65	CACO2	115	116
Neurons	67	68	CACO2	155	156
Neurons	71	72	CACO2	189	190
Neurons	72	73	CACO2	163	164
Neurons	73	74	CACO2	43	44
Neurons	74	75	CACO2	63	64
Neurons	74	75	CACO2	93	94
Neurons	77	78	CACO2	204	205
Neurons	79	80	CACO2	135	136
Neurons	81	82	CACO2	9	10
Neurons	82	83	CACO2	3	4
Neurons	86	87	CACO2	153	154
Neurons	89	90	CACO2	113	114
Neurons	90	91	CACO2	11	12
Neurons	95	96	CACO2	55	56
Neurons	98	99	CACO2	116	117
Neurons	104	105	CACO2	81	82
Neurons	115	116	CACO2	198	199
Neurons	116	117	CACO2	39	40
Neurons	117	118	CACO2	142	143
Neurons	119	120	CACO2	99	100
Neurons	120	121	CACO2	52	53
Neurons	121	122	CACO2	109	110
Neurons	130	131	CACO2	0	1
Neurons	133	134	CACO2	141	142
Neurons	141	142	CACO2	182	183
Neurons	142	143	CACO2	42	43
Neurons	143	144	CACO2	106	107
Neurons	144	145	CACO2	146	147
Neurons	152	153	CACO2	149	150
Neurons	154	155	CACO2	114	115
Neurons	157	158	CACO2	34	35
Neurons	158	159	CACO2	16	17
Neurons	159	160	CACO2	140	141
Neurons	160	161	CACO2	74	75
Neurons	168	169	CACO2	200	201
Neurons	170	171	CACO2	188	189
Neurons	171	172	CACO2	41	42
Neurons	174	175	CACO2	64	65
Neurons	176	177	CACO2	158	159
Neurons	178	179	CACO2	147	148
Neurons	180	181	CACO2	180	181
Neurons	188	189	CACO2	176	177
Neurons	197	198	CACO2	4	5
Neurons	198	199	CACO2	1	2
Neurons	199	200	CACO2	173	174
Neurons	201	202	CACO2	184	185
Neurons	202	203	CACO2	174	175
Neurons	207	208	CACO2	150	151
Neurons	216	217	CACO2	125	126
Neurons	217	218	CACO2	203	204
Neurons	220	221	CACO2	191	192
Neurons	223	224	CACO2	75	76
Neurons	229	230	CACO2	129	130
Neurons	231	232	CACO2	164	165
Neurons	239	240	CACO2	169	170
Neurons	243	244	CACO2	161	162
Neurons	251	252	CACO2	31	32
Neurons	254	255	CACO2	202	203
Neurons	259	260	CACO2	105	106
Neurons	260	261	CACO2	60	61
Neurons	265	266	CACO2	84	85
Neurons	266	267	CACO2	207	208
Neurons	270	271	CACO2	80	81
Neurons	272	273	CACO2	144	145
Neurons	274	275	CACO2	44	45
Neurons	280	281	CACO2	208	209
Neurons	284	285	CACO2	205	206
Neurons	59	60	Monocytes	117	118
Neurons	193	194	Monocytes	31	32
Neurons	66	67	Monocytes	201	202
Neurons	242	243	Monocytes	108	109
Neurons	264	265	Monocytes	97	98
Neurons	248	249	Monocytes	1	2
Neurons	19	20	Monocytes	76	77
Neurons	58	59	Monocytes	166	167
Neurons	271	272	Monocytes	186	187
Neurons	224	225	Monocytes	259	260
Neurons	1	2	Monocytes	250	251
Neurons	7	8	Monocytes	177	178
Neurons	8	9	Monocytes	11	12
Neurons	16	17	Monocytes	3	4
Neurons	23	24	Monocytes	144	145
Neurons	24	25	Monocytes	15	16
Neurons	25	26	Monocytes	242	243
Neurons	27	28	Monocytes	184	185
Neurons	28	29	Monocytes	124	125
Neurons	32	33	Monocytes	257	258
Neurons	35	36	Monocytes	141	142
Neurons	36	37	Monocytes	74	75
Neurons	41	42	Monocytes	136	137
Neurons	46	47	Monocytes	66	67
Neurons	47	48	Monocytes	174	175
Neurons	48	49	Monocytes	60	61
Neurons	51	52	Monocytes	131	132
Neurons	61	62	Monocytes	26	27
Neurons	67	68	Monocytes	180	181
Neurons	68	69	Monocytes	209	210
Neurons	71	72	Monocytes	107	108
Neurons	74	75	Monocytes	218	219
Neurons	75	76	Monocytes	33	34
Neurons	85	86	Monocytes	17	18
Neurons	86	87	Monocytes	84	85
Neurons	89	90	Monocytes	183	184
Neurons	90	91	Monocytes	50	51
Neurons	96	97	Monocytes	151	152
Neurons	101	102	Monocytes	86	87
Neurons	102	103	Monocytes	132	133
Neurons	107	108	Monocytes	153	154
Neurons	113	114	Monocytes	112	113
Neurons	120	121	Monocytes	198	199
Neurons	126	127	Monocytes	57	58
Neurons	127	128	Monocytes	119	120
Neurons	128	129	Monocytes	149	150
Neurons	129	130	Monocytes	252	253
Neurons	130	131	Monocytes	113	114
Neurons	134	135	Monocytes	122	123
Neurons	138	139	Monocytes	53	54
Neurons	142	143	Monocytes	203	204
Neurons	144	145	Monocytes	202	203
Neurons	145	146	Monocytes	229	230
Neurons	146	147	Monocytes	164	165
Neurons	147	148	Monocytes	83	84
Neurons	151	152	Monocytes	205	206
Neurons	152	153	Monocytes	182	183
Neurons	154	155	Monocytes	126	127
Neurons	156	157	Monocytes	228	229
Neurons	158	159	Monocytes	253	254
Neurons	159	160	Monocytes	79	80
Neurons	160	161	Monocytes	80	81
Neurons	163	164	Monocytes	227	228
Neurons	164	165	Monocytes	194	195
Neurons	165	166	Monocytes	217	218
Neurons	166	167	Monocytes	99	100
Neurons	168	169	Monocytes	221	222
Neurons	173	174	Monocytes	206	207
Neurons	176	177	Monocytes	263	264
Neurons	187	188	Monocytes	29	30
Neurons	189	190	Monocytes	62	63
Neurons	191	192	Monocytes	111	112
Neurons	203	204	Monocytes	51	52
Neurons	204	205	Monocytes	173	174
Neurons	205	206	Monocytes	44	45
Neurons	208	209	Monocytes	28	29
Neurons	209	210	Monocytes	115	116
Neurons	210	211	Monocytes	207	208
Neurons	218	219	Monocytes	225	226
Neurons	219	220	Monocytes	102	103
Neurons	220	221	Monocytes	216	217
Neurons	221	222	Monocytes	69	70
Neurons	223	224	Monocytes	165	166
Neurons	225	226	Monocytes	35	36
Neurons	226	227	Monocytes	120	121
Neurons	227	228	Monocytes	169	170
Neurons	234	235	Monocytes	73	74
Neurons	236	237	Monocytes	249	250
Neurons	240	241	Monocytes	43	44
Neurons	243	244	Monocytes	34	35
Neurons	244	245	Monocytes	138	139
Neurons	249	250	Monocytes	101	102
Neurons	251	252	Monocytes	246	247
Neurons	256	257	Monocytes	12	13
Neurons	257	258	Monocytes	68	69
Neurons	259	260	Monocytes	190	191
Neurons	262	263	Monocytes	38	39
Neurons	267	268	Monocytes	27	28
Neurons	270	271	Monocytes	14	15
Neurons	274	275	Monocytes	118	119
Neurons	275	276	Monocytes	232	233
Neurons	276	277	Monocytes	20	21
Neurons	278	279	Monocytes	262	263
Neurons	279	280	Monocytes	104	105
Neurons	281	282	Monocytes	89	90
Neurons	286	287	TCell	13	14
Neurons	255	256	TCell	26	27
Neurons	111	112	TCell	34	35
Neurons	139	140	TCell	45	46
Neurons	150	151	TCell	39	40
Neurons	242	243	TCell	20	21
Neurons	99	100	TCell	16	17
Neurons	0	1	TCell	23	24
Neurons	13	14	TCell	85	86
Neurons	20	21	TCell	50	51
Neurons	21	22	TCell	47	48
Neurons	22	23	TCell	77	78
Neurons	35	36	TCell	68	69
Neurons	36	37	TCell	31	32
Neurons	73	74	TCell	69	70
Neurons	74	75	TCell	52	53
Neurons	81	82	TCell	6	7
Neurons	82	83	TCell	67	68
Neurons	85	86	TCell	27	28
Neurons	133	134	TCell	18	19
Neurons	183	184	TCell	21	22
Neurons	185	186	TCell	61	62
Neurons	186	187	TCell	51	52
Neurons	232	233	TCell	72	73
Neurons	237	238	TCell	78	79
Neurons	251	252	TCell	57	58
Neurons	268	269	TCell	25	26
Neurons	277	278	TCell	3	4
Neurons	279	280	TCell	19	20
Neurons	281	282	TCell	28	29
Neurons	135	136	Hepatocytes	153	154
Neurons	273	274	Hepatocytes	159	160
Neurons	242	243	Hepatocytes	94	95
Neurons	245	246	Hepatocytes	133	134
Neurons	8	9	Hepatocytes	143	144
Neurons	9	10	Hepatocytes	77	78
Neurons	11	12	Hepatocytes	58	59
Neurons	14	15	Hepatocytes	76	77
Neurons	15	16	Hepatocytes	74	75
Neurons	16	17	Hepatocytes	22	23
Neurons	23	24	Hepatocytes	123	124
Neurons	30	31	Hepatocytes	43	44
Neurons	31	32	Hepatocytes	5	6
Neurons	32	33	Hepatocytes	30	31
Neurons	45	46	Hepatocytes	141	142
Neurons	46	47	Hepatocytes	98	99
Neurons	48	49	Hepatocytes	121	122
Neurons	56	57	Hepatocytes	132	133
Neurons	64	65	Hepatocytes	16	17
Neurons	65	66	Hepatocytes	36	37
Neurons	70	71	Hepatocytes	68	69
Neurons	72	73	Hepatocytes	10	11
Neurons	76	77	Hepatocytes	87	88
Neurons	80	81	Hepatocytes	93	94
Neurons	83	84	Hepatocytes	0	1
Neurons	89	90	Hepatocytes	42	43
Neurons	94	95	Hepatocytes	52	53
Neurons	96	97	Hepatocytes	91	92
Neurons	98	99	Hepatocytes	45	46
Neurons	113	114	Hepatocytes	156	157
Neurons	114	115	Hepatocytes	103	104
Neurons	117	118	Hepatocytes	99	100
Neurons	130	131	Hepatocytes	15	16
Neurons	131	132	Hepatocytes	119	120
Neurons	137	138	Hepatocytes	37	38
Neurons	149	150	Hepatocytes	46	47
Neurons	151	152	Hepatocytes	164	165
Neurons	153	154	Hepatocytes	148	149
Neurons	154	155	Hepatocytes	136	137
Neurons	180	181	Hepatocytes	70	71
Neurons	181	182	Hepatocytes	112	113
Neurons	205	206	Hepatocytes	39	40
Neurons	219	220	Hepatocytes	107	108
Neurons	228	229	Hepatocytes	150	151
Neurons	240	241	Hepatocytes	14	15
Neurons	247	248	Hepatocytes	29	30
Neurons	259	260	Hepatocytes	118	119
Neurons	261	262	Hepatocytes	69	70
Neurons	267	268	Hepatocytes	26	27
Neurons	270	271	Hepatocytes	31	32
Neurons	287	288	Hepatocytes	166	167
Neurons	289	290	Hepatocytes	139	140
Neurons	167	168	VisceralAdipocytes	91	92
Neurons	162	163	VisceralAdipocytes	153	154
Neurons	66	67	VisceralAdipocytes	128	129
Neurons	264	265	VisceralAdipocytes	64	65
Neurons	172	173	VisceralAdipocytes	28	29
Neurons	182	183	VisceralAdipocytes	154	155
Neurons	17	18	VisceralAdipocytes	7	8
Neurons	112	113	VisceralAdipocytes	26	27
Neurons	58	59	VisceralAdipocytes	82	83
Neurons	224	225	VisceralAdipocytes	29	30
Neurons	2	3	VisceralAdipocytes	76	77
Neurons	4	5	VisceralAdipocytes	169	170
Neurons	8	9	VisceralAdipocytes	96	97
Neurons	35	36	VisceralAdipocytes	65	66
Neurons	38	39	VisceralAdipocytes	25	26
Neurons	41	42	VisceralAdipocytes	140	141
Neurons	42	43	VisceralAdipocytes	52	53
Neurons	45	46	VisceralAdipocytes	30	31
Neurons	53	54	VisceralAdipocytes	56	57
Neurons	64	65	VisceralAdipocytes	149	150
Neurons	69	70	VisceralAdipocytes	45	46
Neurons	75	76	VisceralAdipocytes	100	101
Neurons	76	77	VisceralAdipocytes	88	89
Neurons	85	86	VisceralAdipocytes	36	37
Neurons	87	88	VisceralAdipocytes	58	59
Neurons	94	95	VisceralAdipocytes	92	93
Neurons	97	98	VisceralAdipocytes	142	143
Neurons	105	106	VisceralAdipocytes	98	99
Neurons	110	111	VisceralAdipocytes	40	41
Neurons	113	114	VisceralAdipocytes	120	121
Neurons	116	117	VisceralAdipocytes	107	108
Neurons	119	120	VisceralAdipocytes	44	45
Neurons	120	121	VisceralAdipocytes	33	34
Neurons	125	126	VisceralAdipocytes	94	95
Neurons	131	132	VisceralAdipocytes	43	44
Neurons	132	133	VisceralAdipocytes	157	158
Neurons	134	135	VisceralAdipocytes	135	136
Neurons	136	137	VisceralAdipocytes	110	111
Neurons	144	145	VisceralAdipocytes	159	160
Neurons	153	154	VisceralAdipocytes	84	85
Neurons	157	158	VisceralAdipocytes	42	43
Neurons	163	164	VisceralAdipocytes	131	132
Neurons	166	167	VisceralAdipocytes	136	137
Neurons	168	169	VisceralAdipocytes	121	122
Neurons	177	178	VisceralAdipocytes	57	58
Neurons	183	184	VisceralAdipocytes	134	135
Neurons	194	195	VisceralAdipocytes	106	107
Neurons	195	196	VisceralAdipocytes	117	118
Neurons	196	197	VisceralAdipocytes	47	48
Neurons	200	201	VisceralAdipocytes	164	165
Neurons	201	202	VisceralAdipocytes	162	163
Neurons	206	207	VisceralAdipocytes	32	33
Neurons	211	212	VisceralAdipocytes	163	164
Neurons	215	216	VisceralAdipocytes	41	42
Neurons	217	218	VisceralAdipocytes	72	73
Neurons	221	222	VisceralAdipocytes	161	162
Neurons	222	223	VisceralAdipocytes	171	172
Neurons	235	236	VisceralAdipocytes	90	91
Neurons	237	238	VisceralAdipocytes	9	10
Neurons	240	241	VisceralAdipocytes	155	156
Neurons	254	255	VisceralAdipocytes	23	24
Neurons	258	259	VisceralAdipocytes	46	47
Neurons	263	264	VisceralAdipocytes	3	4
Neurons	269	270	VisceralAdipocytes	24	25
Neurons	281	282	VisceralAdipocytes	27	28
Neurons	282	283	VisceralAdipocytes	89	90
Neurons	291	292	VisceralAdipocytes	170	171
Neurons	39	40	SubcutaneousAdipocytes	57	58
Neurons	264	265	SubcutaneousAdipocytes	85	86
Neurons	99	100	SubcutaneousAdipocytes	37	38
Neurons	58	59	SubcutaneousAdipocytes	106	107
Neurons	5	6	SubcutaneousAdipocytes	30	31
Neurons	10	11	SubcutaneousAdipocytes	36	37
Neurons	13	14	SubcutaneousAdipocytes	126	127
Neurons	18	19	SubcutaneousAdipocytes	124	125
Neurons	26	27	SubcutaneousAdipocytes	73	74
Neurons	29	30	SubcutaneousAdipocytes	0	1
Neurons	34	35	SubcutaneousAdipocytes	50	51
Neurons	46	47	SubcutaneousAdipocytes	94	95
Neurons	55	56	SubcutaneousAdipocytes	33	34
Neurons	57	58	SubcutaneousAdipocytes	10	11
Neurons	71	72	SubcutaneousAdipocytes	103	104
Neurons	73	74	SubcutaneousAdipocytes	80	81
Neurons	76	77	SubcutaneousAdipocytes	108	109
Neurons	91	92	SubcutaneousAdipocytes	104	105
Neurons	92	93	SubcutaneousAdipocytes	65	66
Neurons	94	95	SubcutaneousAdipocytes	100	101
Neurons	95	96	SubcutaneousAdipocytes	32	33
Neurons	103	104	SubcutaneousAdipocytes	115	116
Neurons	107	108	SubcutaneousAdipocytes	79	80
Neurons	119	120	SubcutaneousAdipocytes	55	56
Neurons	128	129	SubcutaneousAdipocytes	75	76
Neurons	130	131	SubcutaneousAdipocytes	91	92
Neurons	131	132	SubcutaneousAdipocytes	11	12
Neurons	133	134	SubcutaneousAdipocytes	99	100
Neurons	134	135	SubcutaneousAdipocytes	117	118
Neurons	149	150	SubcutaneousAdipocytes	118	119
Neurons	153	154	SubcutaneousAdipocytes	89	90
Neurons	154	155	SubcutaneousAdipocytes	112	113
Neurons	156	157	SubcutaneousAdipocytes	120	121
Neurons	157	158	SubcutaneousAdipocytes	35	36
Neurons	158	159	SubcutaneousAdipocytes	125	126
Neurons	175	176	SubcutaneousAdipocytes	59	60
Neurons	177	178	SubcutaneousAdipocytes	62	63
Neurons	192	193	SubcutaneousAdipocytes	9	10
Neurons	217	218	SubcutaneousAdipocytes	76	77
